full_text,sentiment
@Nata_Salud @Sandrag69 @AndresMejiaV ¡Hola Natalia! Te invitamos a descubrir tu #MatchPresidencial aquí: https://t.co/0E1tZKypTK,neutral
"@supershadai @Registraduria Quien o que institución en Colombia atiende los reclamos al fraude electoral?
Porque no suspender a al registrador que ya la defeco en las elecciones de senado y camara.
Hay una desconfianza general en cuanto a las presidenciales.
Están provocando una respuesta violenta.",negative
@BOLIBAR2 @AndresPastrana_ @santiagoangelp Un poco tarde con las elecciones encima… mal para Colombia,negative
"No encontraron otra alternativa que llenar de miedo a Colombia, utilizan sus paramilitares para ganar elecciones. Es ahora o nunca @petrogustavo",positive
"@BOLIBAR2 @CNE_COLOMBIA @AndresPastrana_ Aquí no va a pasar nada, y petro de va a robar las elecciones presidenciales y el país",negative
"@FicoGutierrez @DANE_Colombia Gracias a @IvanDuque y ud que toma su legado, si Locombia  lo elige estamos condenados a lo mismo, verdad que tienen platica pa robarse ñas elecciones... hdspm!!",negative
"Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia
#TalCual #ClaroyRaspao #AmigosDeNuevo 
https://t.co/Kpm7VZydwZ https://t.co/VTL37dV7CD",neutral
“Casi 3000 aspirantes a jurados de votación inhabilitados en Colombia” https://t.co/2MCo0SBpog #Elecciones ✍️ por @gabrielamor,neutral
"#Video ¿Cuántos votos necesitaron Duque y Petro para ir a segunda vuelta en 2018?

https://t.co/OhVfQMi6TU https://t.co/NmDDU27LFL",neutral
"Ese Petro me salió como muy tirado al centro para mi gusto. 😂😂😂😂😂😂😂😂😂😂😂😂
hagan su match presidencial Aquí!!!!

https://t.co/ZMNhI0Lvl3 https://t.co/5XSAZbZs92 https://t.co/CRRkJy51fu",neutral
"#ColombiaDecide | Federico Gutiérrez desde Riohacha: Hay quienes “negocian con corruptos en las cárceles”

https://t.co/IM628eMlaR",negative
"Tanto la inclusión de la segunda vuelta como la apertura del sistema político a más partidos hizo que el tarjetón se poblara de casi una decena de candidatos por proceso. 

#ContenidoPremiumEE #Elecciones2022 
https://t.co/tVxPTMLkC2",negative
@mindefensa @infopresidencia @PoliciaColombia @FuerzaAereaCol @IvanDuque @FuerzasMilCol @GobDeBolivar @GobCordoba_ @GobSucre si se van a reunir  con  sus amigos aliados del clan del golfo para mirar como da;an las elecciones para este 29 de mayo eso es lo único que hace este NARCOGOBIERNO FAVORECER A PARAMILITARES Y LAS MAFIAS EN COLOMBIA,negative
"El 29 de mayo, serán 
Las Elecciones en Colombia. https://t.co/k01o3i9ero",neutral
"Me salió esto 😅

https://t.co/TJokUajStC",neutral
".@odonnellmaria y @ertenembaum entrevistan a Francia Márquez, candidata a vicepresidenta en la fórmula de Gustavo Petro para las elecciones presidenciales de Colombia. La cita, este sábado a las 9 P.M. (Miami), 10 P.M. (Buenos Aires) en #Conecta2 https://t.co/p93867hkre",neutral
#ColombiaDecide | Candidatos presidenciales explican cómo combatirían la alta inflación en Colombia https://t.co/U2fxQzaVSR,neutral
"@stendor @LaPullaOficial Un ""ladrón"" que no se robó un peso, eso es raro en Colombia, el que empieza el escándalo para que no se lleve el contrato es el mismo que se iba a ganar la supuesta coima, más raro, lo han aplazando por falta de pruebas en 3 ocasiones hasta llevarlo a fecha de elecciones, raro.",negative
"¿Qué pasa con policia, esmad y ejercito?, media colombia sitiada por paramilitares a 3 semanas de elecciones presidenciales y estos hptas nada, pero fueran estudiantes, niños mujeres embarazadas, ya le habían sacado los ojos, malparidos asesinos hptas @GaulaPolicia @COL_EJERCITO",negative
"Atención Colombia!!! 

#LaOrdenVieneDeArriba es la manera como nos quieren robar las elecciones...

100 twitts más!!!
#LaOrdenVieneDeArriba",negative
"@LEO06076235 @waldoalarconho1 @CNE_COLOMBIA @Registraduria @PGN_COL @MiguelA00036444 @PAME3_02F @marco_caldono @HdoPinillaPatin @mariubenoit @Andres_S_Co Cómo quiera que sea van a colocar al delincuente ese, robándose las elecciones de una manera bien descarada cómo hicieron en Chile y en Perú. https://t.co/SdnOWbygg1",negative
"Tienen todo listo para robarse las elecciones otra ves, ojo Colombia. https://t.co/toGqlfbrSX",negative
"👮‍♀️ La reprensión a la sociedad, manifiesta un gobierno que se ve amenazado y con poca capacidad de negociación y respuesta institucional. Más en revista #CienDías 104 👉🏽 https://t.co/d2YUoyQ8k6

📸 @infopresidencia https://t.co/ZonY8FcHEm",negative
"🕊 El proceso de paz entendido cómo una estructura de oportunidad, para poner fin al conflicto y escuchar a sectores sociales excluidos. 🎤 #CienDías N. 104 🔗 https://t.co/d2YUoyQ8k6

📸 @JEP_Colombia https://t.co/igChGJnaFX",neutral
"✊🏽Apertura y estabilidad democrática en Colombia, 🗳 el análisis de Daniel Ricardo Amaya en revista #CienDías edición N. 104 📲 https://t.co/d2YUoyQ8k6

📸 @PactoHistorico https://t.co/c1UQd4KNDJ",neutral
"Esto está imparable!
 #ProgresistaSigueProgresista , #SúmateAlCambio , #YaLlegaElCambio .
Sigamos sumando y logremos transformar a Colombia con Petro y Francia! A ganar las elecciones en primera vuelta! Sígueme y te sigo!",positive
"Exigimos garantías para la vida y la democracia. A 24 días de elecciones, #Colombia se encuentra sitiada por las mafias del #ClanDelGolfo sin que el gobierno haga nada! Pedimos a la comunidad internacional pronunciarse inmediatamente.

@WOLA_org #QuienRespondePor #ParoArmado https://t.co/G6qEJKkpcU",negative
La. Justicia en colombia es una mierda. El registrador va a torcer las elecciones. Donde esta el presidente par aq suspendan. Retiren del cargo a ese perro https://t.co/l3ofo0FE2l,negative
La. Justicia en colombia es una mierda. El registrador va a torcer las elecciones. Donde esta el presidente par aq suspendan. Retiren del cargo a ese perro https://t.co/l3ofo0FE2l,negative
"¿Cuántos votos necesitaron Duque y Petro para ir a segunda vuelta en 2018?
https://t.co/aS2FPlnbAU https://t.co/xddQRBZFYF",neutral
FRAUDE DE LA IZQUIERDA EN COLOMBIA ANULA  LAS ELECCIONES https://t.co/i7vjkTZFZx,negative
"El candidato presidencial dice que buscará llegar al poder “sin comprar votos con plata robada del pueblo colombiano”.

¿#ASonDeQué quiere ser presidente?

#Elecciones2022 #ColombiaDecide #RodolfoHernandez
https://t.co/9kDluOH8as",negative
"⚠️🇨🇴A 23 días de la Primera Vuelta  siguen apareciendo PRUEBAS del descomunal fraude en elecciones al Congreso y no pasa nada. Señores @infopresidencia @FiscaliaCol @PGN_COL @CNE_COLOMBIA ¡Si no actúan se robarán también las presidenciales! 
#ExigimosEleccionesTransparentes 🇨🇴 https://t.co/a3jbnGSN0V",negative
"@tinagus2000 Evidentemente la persecución judicial, la aceleración de cosas, las trabas del @cnegobec para la inscripción , el viaje de la fiscal a Colombia y el papel de otras instituciones influyeron en la victoria de Lasso. Al otro candidato lo desgastaron, mucha antes de las elecciones.",neutral
"@RobinsonBaena Mosca camarada, el uribismo aprovechando las acciones de estos delincuentes quieren desestabilizar Colombia porque se ven perdidos en las elecciones https://t.co/ZN08tBGBax",negative
FRAUDE DE LA IZQUIERDA ANULA LAS ELECCIONES EN COLOMBIA https://t.co/ua35EWyuJn,negative
"Se aplica para las elecciones en Colombia. Si no, miren la hinchada del marxista borracho. https://t.co/74BLE9t913",negative
"Es más que obvio que esa extradición de #Otoniel más que estrategia para silenciarlo, era la excusa para explotar este #ParoArmado y afectar así las elecciones, evitar que la gente se mueva a votar masivamente. #Colombia",negative
Haga “match” con la elección presidencial | EL ESPECTADOR https://t.co/LD3WviiaEz,neutral
"https://t.co/KXwMVRujE7 recomendado, votemos a conciencia. Este app que saco @elespectador le ayuda a ver como sus posiciones se alinean con su candidato. 1/3 #eleccionescolombia2022 #elecciones #colombia",neutral
"https://t.co/XgHuyrM1ZI 
#ElRiesgoEs QUE SE EXTIENDA EL #ParoArmado DE PETRO HASTA LAS ELECCIONES PARA EVITAR QUE COLOMBIA VOTE CONTRA PETRO

PERO, EL PARO ES DEL CLAN DEL GOLFO - OTONIEL

...

CLAN DEL GOLFO TRABAJA PAR EL CÁRTEL NARCOTERRORISTA FARC omunes

OSEA SI ES DE PETRO!",negative
"""El uribismo intenta en una carrera contrarreloj sacar adelante en el Congreso una reforma de la ley de traspaso de poder para impedir a la izquierda acceder a información clasificada de seguridad nacional en el caso de llegar al poder"" https://t.co/Uy0NoJrcev vía @elsaltodiario",negative
@MONYRODRIGUEZOF Ojalá que petrochanda se alejé de la política cuando pierda las elecciones.por que Colombia siempre será y ganará la Democracia.,negative
@JulianFMartinez @DNP_Colombia @aleboterob Estaban esperando el momento preciso. Las elecciones.,neutral
"Hice el ejercicio de la Match Presidencial del @elespectador.

Me gustó. Creo que me define ideológicamente. Lo más importante es que me deja claro por quien no debo votar.

Aquí les dejo el enlace para que hagan el ejercicio. 

https://t.co/jHXsHZWoDO https://t.co/nJsUylMydh",neutral
"@condeza6 @Gonzalo00333993 @Pura_Miel @Registraduria @CNE_COLOMBIA @moecolombia @PGN_COL Coño que porquería de país , acaso la procuradora se revolcó con el registrador y le tomo fotos y videos que la tiene chantajeada o que , que carajos es lo que esa vieja está esperando que se forme un mierdero el día de las elecciones?",neutral
(Elecciones Colombia: ¿qué muestran las más recientes encuestas presidenciales?) publicado en https://t.co/XJ7xIbDAXM - https://t.co/kBmI6ABhaM https://t.co/iDU3rbQpNu,neutral
"@CoronelBillKil1 El tipo más demócrata de Colombia es Petro. No solo le robaron las elecciones de hace 4 años ,sino que el estamento no se ha encargado sino de perseguirlo con sanciones y faltas investigaciones. Todo lo ha ganado Petro",positive
"Ya está disponible la entrevista que le hice a mi amigo Agustín Laje sobre las elecciones en Colombia. No se lo pierdan. 
@AgustinLaje
 https://t.co/FeuVfOt4bZ",neutral
#ParoArmado q afecta a Colombia en estos momentos es el abre bocas de lo q se viene con la lacra de Petro cuando pierda las elecciones.,negative
"Actualidad, Elecciones, Manipulación Social  y Agenda del Miedo en Colombia. https://t.co/tN0PbrCr22",negative
Procuraduría alerta que 2.925 jurados de votación están inhabilitados para elecciones Colombia via @ElColombiano https://t.co/i62hR3wv5r,neutral
"Señores. @PGN_COL

El país reclama elecciones transparentes en primera vuelta presidencial el 29 de mayo.

Opinión. @PGN_COL @CNE_COLOMBIA @moecolombia https://t.co/ceSkMa0f3W",neutral
"Luis Pérez se caracteriza por tener un estilo de ropa colorida y a la medida. En este capítulo de #ElHilo le contamos qué comunica con las prendas que usa el candidato.
https://t.co/BQkQzsF1Mu

#Elecciones2022 #ColombiaDecide https://t.co/qSKzzQgQn2",neutral
"Estos son los tarjetones con los que Colombia ha votado a la presidencia en 28 años:

https://t.co/7jcyCwQuni",neutral
@FicoGutierrez Señores quien creo la AUC en colombia. Ahora se les salieron de las manos o es simplemente una estrategia para ganar las elecciones creando el caso en el país y echándole las culpas a otros. De verdad que somos un país donde todo lo olvidamos por eso estamos como estamos.,negative
"Casi 3000 inscritos para ser jurados de votación en las elecciones presidenciales están inhabilitados, reveló la Procuraduría https://t.co/XhbXssLCnE",neutral
@CARLOSFMEJIA @infopresidencia @PGN_COL @FiscaliaCol @CNE_COLOMBIA Para que elecciones si el Registrador Va A ponerle Votos  Al hampon del petró hipócritas.,negative
"Episodio 8 - En este nuevo episodio Alicia Eugenia Silva nos plantea una reflexión,  en estas elecciones ¿el país sigue polarizado? o ¿nace un nuevo bipartidismo en Colombia? https://t.co/HYnK26DpNn via @YouTube",neutral
Uribe y sus aliados siembran zozobra para suspender elecciones en colombia 🇨🇴 https://t.co/wPM7Wft8bo,negative
"Alertan que miles de jurados de votación están inhabilitados para estar en las elecciones a Presidente https://t.co/U0B0pSdoT0
via SQUID App https://t.co/HbtsGbArmc",neutral
"@NoticiasCaracol @AlvaroUribeVel el promotor del paramilitarismo en Colombia, se quiere lavar las manos? Como van perdiendo las elecciones, acuden a infundir miedo y muerte, para vender ""paz"". La misma estrategia de siempre. Si hay un Dios, que le de una lección a este ser deplorable.",negative
"El Tribunal Administrativo de Cundinamarca negó la solicitud de suspensión provisional del Registrador Nacional, Alexander Vega. Sin embargo, decretó unas medidas cautelares para garantizar las elecciones. | A 23 días para la elección presidencial en Colombia, opine. https://t.co/KNA8oitIEa",neutral
Advierten inhabilidades en jurados de votación elegidos para elecciones presidenciales  https://t.co/oUCjxiVqOi,neutral
@AlvaroUribeVel No viejito sarnoso ; ya conocemos su accionar ; crea el caos y culpa a tu enemigo político para poderle ganar las elecciones ; ya COLOMBIA sabe cómo actúa usted ; paraco hijueputa,negative
"El Consejo Nacional Electoral @CNE_COLOMBIA  envió concepto jurídico al Tribunal de Cundinamarca en el que pide que no se suspenda al registrador Alexander Vega. 

Según el organismo electoral, las elecciones legislativas cumplieron con todas las garantías de transparencia.",neutral
"¿Qué es la Ley de Garantías y por qué la Corte Constitucional tumbó su reforma?

https://t.co/qRNy77hLm6",neutral
"@ignaziololo1 QUE EL MUNDO CONOZCA LO QUE HACEN PARA MANTENER A LOS MIEMBROSS DEL NOM GOBERNANDO, OJO COLOMBIA QUE TIENE LA MISMA RECETA PARA LAS ELECCIONES DE  MAYO, VAN A QUERER DAR COMO GANADOR AL CANDIDATO DE LA IZQUIERDA, LO MISMO QUE HICIERON EN ELECCIONES PARA SENADORES.",negative
"@vechajol @fredyparada90 @petrogustavo @FicoGutierrez @Rodrigo_LaraS El régimen no permite a alguien diferente les quite el poder, en las elecciones pasadas le robaron las elecciones, pobre Colombia en manos de MATARIFE",negative
"Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia
#TalCual #ClaroyRaspao #AmigosDeNuevo 
https://t.co/Kpm7VZPOox https://t.co/KpaZYf7BID",negative
Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia #TalCual #ClaroyRaspao #AmigosDeNuevo https://t.co/jlVNjUzyVg,negative
"🇨🇴El asesino y terrorista @AlvaroUribeVel  
A poco de las elecciones infunden terror en el #colombia como arma política en campaña, #ParoArmado el discurso del miedo para mantenerse en el poder por medio de su títere @FicoGutierrez",negative
"@PaulaAn26992616 @Gmo_Leal Hay que tener mucho cuidado con la sabandija del registrador, nos quiere democratizar las elecciones en nuestras propias narices, ojo Colombia votar masivamente desde temprano por Fico presidente",negative
"Eso le pasa a @sergio_fajardo
por coqueteos con el viejito populista y ""presuntamente"" corrupto..  
https://t.co/O4oszWzKLW",negative
Robar votos y elecciones parece ser lo que está de moda a nivel mundial y nadie es culpable. Veamos cómo le va a #Colombia,negative
"@nicolaspetroB @petrogustavo Los paramilirares si que son brutos ignorantes, ven como los ha traicionado el uribismo y siguen arranchados sin querer un cambio en Colombia! Esperemos que el día de las elecciones no amenazen a los colombianos! Maldito uribismo nos tiene jodidos!",negative
"2.925 jurados de votación estarían inhabilitados para estar en las elecciones presidenciales, ¿por qué? ⬇ https://t.co/QvDgqo11wV",neutral
COLOMBIA NO HABÍA VISTO NUNCA UN PAYASO IGUAL. https://t.co/vfogIcbmmR,negative
"Colombia es un país olvidado por sus dirigentes , cada dia hay mas hambre , inseguridad y pobreza.  Que lastima que en estas elecciones nos toque escoger una vez más por el menos malo. #nosesalvaninguno #ColombiaVota2022",negative
"Eso sabe   ;)
Adelante #PetroPresidente2022 
https://t.co/xscQ26b62m https://t.co/NIJNT0Sms7",positive
"@JulianRoman @IvanDuque A los Colombianos no le queda otro  camino: Votar contra todo lo que quieren ver a Colombia vuelta un mierdero y perdón por la palabra,pero es lo más decente para describir lo que   convierte un populista dictar,a un pais.antes y despues de elecciones.Atte.Democraciasinmiedo",negative
@ozuismysenpai Pillá https://t.co/fnZFeKA3fz,neutral
@ozuismysenpai Pillá https://t.co/fnZFeKA3fz,neutral
"Y será que va a pasar lo mismo en las elecciones para presidente, quien responde, porque hasta ahora ni el presidente @IvanDuque ni la @PGN_COL han hecho nada para destituir a Vega @Registraduria de Colombia https://t.co/FHZYemnQhf",negative
"@RICHENAO El @PactoHistorico de @petrogustavo , a @CNE_COLOMBIA @Doris_MendezC jamás los tendría en Cuenta cómo jurados o vigilantes en unas elecciones",negative
"Cómo es posible afirmar que hay democracia en Colombia cuando estamos realizando elecciones a la presidencia en medio de la guerra contra la población? Como diría la filósofa Hannah Arendt, allí donde comienza la violencia, termina la política
#ParenLaGuerra",negative
"@Elecciones_OJO @petrogustavo Usted habla de Uribe, yó estoy hablando del proximo PRESIDENTE de Colombia, le exijo respeto por la primera autoridad del país:  FICO PRESIDENTE https://t.co/bmMnu6Di2f",negative
Advierten inhabilidades en jurados de votación elegidos para elecciones presidenciales  https://t.co/E29cwaZIts,neutral
#ColombiaDecide | Fajardo les respondió a quienes le piden un encuentro con Gustavo Petro https://t.co/5IhrL6apo4,neutral
"@WRadioColombia @ernestomaciast Siiii señor, a eso es que apunta su Federico y su uribismo .. pero no le van a robar las elecciones a Gustavo Petro Próximo presidente de Colombia en primera vuelta !!! 💛💙♥️🇨🇴",negative
"@Oscarkast13 @palana61 Será que Colombia está a punto de vivir en carne propia lo sucedido en las elecciones de los Estados Unidos? 
Que guarden este trino también. 
🍿🐸🍿
🤣🤣🤣",neutral
"@CIA @CorteIDH los grupos terroristas al servicio del NARCOTRAFICO en conjunto con el GOBIERNO DE COLOMBIA gestor de un NARCOGOBIERNO, atentan y violan todos los DDHH con una impunidad absoluta.
Vienen elecciones, y como perdieron credibilidad, siembran terror.
#SOSColombiaDDHH",negative
"Hoy en viernes de entrevista😎 nuestro cofundador Carlos Jaramillo conversó con nosotros sobre emprendimiento, elecciones 2022 y consejos para los que quieren empezar su empresa en Colombia. Léela completa aquí 👉https://t.co/uTedwy2rSf #blog #emprendedor #emprendimiento",positive
"EnerNews | El peso del petróleo en la ruta de los candidatos en Colombia

👉 https://t.co/8ShA3O33SD

#petróleo #Colombia #Elecciones https://t.co/ipVNfs8Zhv",neutral
@lcvelez @Karlaarcila @NoticiasRCN @rcnradio @NTN24 @lafm Lo grave y en contra de Colombia es q la @FiscaliaCol no actúe urgentemente ni la @PGN_COL y debe @FicoGutierrez actuar o nos van a robar las próximas elecciones y denuncias penales Para cuando ?,negative
"@jojojorge_ Aquí lo podés encontrar. 

https://t.co/GZQIklXmNZ",neutral
"¡Viva Petro!
Colombia | Petro anuncia que si gana restablecerá las relaciones diplomáticas y consulares con Venezuela @InfoNodal https://t.co/VjYoQsWoY1",neutral
"@jbagbam Totalmente, la única forma de que la izquierda radical gane en Colombia es que se roben las elecciones, ellos lo saben y por eso metieron a este criminal como registrador. Deben echarlo ya antes que sea demasiado tarde.",negative
"Mira esa mierda, osea va a unir Venezuela con colombia el Castrochavismo ""Restableceremos las relaciones diplomáticas y consulares con la República de Venezuela"": Petro https://t.co/nBJ4S67fpK",negative
"Ya no me quedan dudas que el ""paro armado"" fue orquestado desde el Ubérrimo! Días paramilitares quemando buses, disparando contra los civiles y todo el terrorismo CON la indiferencia CÓMPLICE  de @Diego_Molano Y @COMANDANTE_EJC Campaña política sangrienta.
https://t.co/99pr8DragM",negative
Se iniciaron los simulacros de las elecciones de presidente 2022 https://t.co/07SWb8GAT1  / @Registraduria,neutral
"En nuestro país, siempre se debe pensar mal. Seguro el paro armado, la policía quieta, todo tan cerca de elecciones. Duque agilizando la extradición de Otoniel… en fin. Esto es Colombia.",negative
"#Colombia: “En un discurso, el aspirante a la Casa de Nariño prometió restablecer las relaciones diplomáticas y consulares con #Venezuela, así como la apertura de la frontera común que se interrumpió desde 2015 por orden de Nicolás Maduro”

#Latinoamérica https://t.co/vriRjpHlPD",neutral
"Con esto del paro armado y el miedo generado a la población, solo llego a la conclusión de para qué elecciones si ya sabemos quien gobierna a Colombia.",neutral
"#Marbelle tendría pensado irse de Colombia si #GustavoPetro gana las elecciones presidenciales

#EsTrending  

https://t.co/ICfHo1us76",neutral
Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia https://t.co/l70pcQRXYC,neutral
"#VIDEO Rodolfo Hernández: ""Fajardo como que ya pasó a la historia"". https://t.co/pSC4N4Q5ZX https://t.co/3RaV9yqwaT",neutral
"Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia
#TalCual #ClaroyRaspao #AmigosDeNuevo 
https://t.co/Kpm7VZydwZ https://t.co/xyy0uPwwzZ",negative
"Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia
#TalCual #ClaroyRaspao #AmigosDeNuevo 
https://t.co/Kpm7VZydwZ https://t.co/xyy0uPwwzZ",negative
@DianiSierraG @RHpresidente @ingrodolfohdez Se acercan las elecciones del 29 y cada vez nos convencemos más que el mejor candidato para manejar las riendas de Colombia es el Ing. RODOLFO HERNANDEZ https://t.co/GxDWZ8zITM,positive
"#QuienRespondePor
Queman carro de @UNALOficial Universidad Nacional en Santa Fe de Antioquia. El @COL_EJERCITO y la @PoliciaColombia Se escondieron no Actúan Parece ser el excenario para una Guerra Civil y así evitar Elecciones Presidenciales en Colombia @bbcmundo https://t.co/SWEo3DvigS",negative
